order_id,products
2774568,9387 17668 21903 22035 39190 43961 47766
1528013,21903 38293
1376945,8309 8670 14947 27959 28465 33572 34658 35640 35948 42585 44632
1356845,7076 10863 13176 14992 21616 28134
2161313,196 10441 11266 12427 14715 27839 37710
1416320,5134 17948 21137 21903 24852 28985 41950
1735923,196 2192 5183 12108 14252 15131 17008 18174 24629 31487 33756 34690 35123
1980631,6184 9387 13575 13914 22362 41400 46061
139655,13176 21903 22935 24964 27845
1411408,22008 43758
2940603,7521 10339 14947 19894 30592 31615 44632
1192143,24759 24852
3202221,2452 4793 6069 7781 9203 9637 11130 13629 17630 21137 21927 24852 39911 45364 46979 49215
3222866,7039 7969 8501 15718 18894 32441 32912 33198 34254 35921 37131 38690
707453,694 4942 6111 18150 21137 21267 21903 24852 25826 26209 28156 32030 37766 39275 42585 44142 44830 45066 46802 47766 48230
1320132,11079 44632
882556,1870 5373 5450 7371 8424 9076 12857 17794 21903 24852 25890 28204 28289 28849 30962 32653 41149 42768 46906 48679
2431024,5322 5450 5699 6975 13176 13740 17044 22035 24799 27555 29926 34217 39928
2827745,17924
2174416,10017 13176 15712 18798 36929 40604
1325316,26165
320326,24852 42828 45646
2128599,7628
1099519,13176 22035 26351 28058 49131
144494,14947 16959 23106 23431 39108 46260
3024191,18362 20995 27521 30233 39275 42450 42507
2817181,1377 18828 19677 22559 28058 30219 35782 41618 47867
2883656,19660 21497 24852
1970262,4562 12872 13176 19057 21267 21567 21903 22451 24964 27105 28058 29071 48364
2681168,4605 11777 22151 26604 27845 34993 36735 37131 38739 40198 42736 46886 47167
1345233,1695 11520 13176 21137 21903 40146
2412507,5258 18023 21137 43352
139487,196 6184 21386
3302990,21616 24852 27344 29487 30795
1189294,5479 13176 21137 25527 26317 27966
1368861,1940 5445 6884 14335 23334
1626588,14365 31808 36118
36863,5479 10749 13176 17872 21137 22935 24964 26131 27086 27521 32177 45007
969538,8030 11951 13643 23319 27979 30120 31263 33457 38461 41651 45054 47698 48690
688716,5077 13176 35108 47209
1058680,470 2563 4210 13733 14992 16890 23665 30356 32165 32768 41273 43872 44106 44570 46735
831748,5782 11422 33791 36431 40174 44142
2710859,24852 40897 45007 45104 47766
1500625,1674 8769 10673 16464 16855 26700 29646 32211 34300 36086 38200 40332 40531 46138
726111,9554 12756 13176 41165 44632 47766
2567075,6692 9124 12381 12392 12896 18727 26384 30489 31481 34217 35951 37646 47766
1855063,3988 17794 27845 32655
2588536,2825 5612 10831 21137 23986 24852 26790 33572 47521 48335 49111
1658650,1890 5612 14992 19057 19934 21616 21903 22825 24852 28289 39928 40706 44359 44910 45007 47626 47766
36740,2010 3176 7393 10374 13841 20463 25495 25976 26698 27726 29805 33894 35199 36058 36126
2675738,5031 37543 39685 46226
3052059,9421
2943466,2228 3957 5258 5876 7559 11790 13870 21137 24852 27423 38313 44910 45633
1920100,2748 4844 9444 13176 17652 19057 19173 22582 22908 30391 34458 37687 41658 46969 47209 49235
2993890,13176 26648
1172828,4210
2587424,13060
2760277,9018 29603
2691733,41658 47990 49488
2769561,3376 9224 11447 11941 13176 16759 16797 18434 20520 21227 21405 22963 23543 24964 25340 27104 29983 30135 36389 37192 38383 40706 41950 42585 42699 42824 44359 45007 45066 46979 47209 47734 49683
2029462,8424 11090 17794 19348 35132 38453
1817659,3957 4472 25659 25666 26128 28934 34304 35121
470997,4350 7515 8043 16528 18625
569815,100 4920 12218 14852 15902 16797 23296 24852 26094 27275 42372 46842
2517930,16291 24852 24964 27156 35221 49683
2378064,6287 7681 13062 28535 30776 45603 49683
169451,13176
2986791,1516 2966 12023 13176 13870 15386 16321 16521 16797 17526 17794 20580 21405 21903 21914 22227 25466 26209 28204 30450 42123 43789 47717
1239084,5141 6760 10685 10768 12469 12700 13166 16759 17758 21137 21936 22935 23044 23233 24852 27454 28985 30391 32655 33527 44359 49235
3191854,4809 19057 40174 41806 49191
1132910,1194 1217 4138 5876 17872 21704 23265 23288 24184 24852 27086 27744 28204 28476 28740 28906 30233 37229 37330 38948 41255 41290 42701 42750 47766
2088686,5380 5479 26128 27531 29837 30489 31553 39877 39928 40311 40545 42265 46802
3358588,4210 19348 22959 24852 25804 27730
1283403,5115 8174 13176 17794 21137 27267 28985 35918 35951 36342 38383 40604 42445 44229 47209
2098786,4482 6873 13176 13447 19660 26324 27509 29344
795256,3376 8193 8859 9839 10385 18234 22418 23288 28985 30489 45007 48364
2399184,77 4781 4920 9122 10385 11710 18370 19819 21137 22993 23516 24852 26317 27086 28199 31040 32139 33043 36316 36695 38275 39570 40310 42719 47229 48112 49235
862070,5612 11136 17352 24852 46229
